name,year,type,dynasty
明太祖第八次北伐,1396,战争,明
郑和航海,1405,科技,明
明入越,1406,战争,明
胪朐河之战,1409,战争,明
明成祖第一次亲征漠北之战,1410,战争,明
明-锡兰山国战争,1410,战争,明
明成祖第二次亲征漠北之战,1414,战争,明
蓝山起义,1418,战争,明
紫禁城,1420,科技,明
明成祖第三次亲征漠北之战,1422,战争,明
明成祖第四次亲征漠北之战,1423,战争,明
明成祖第五次亲征漠北之战,1424,战争,明
高煦之乱,1426,战争,明
麓川之役,1436,战争,明
土木之变,1449,战争,明
京师保卫战,1449,战争,明
曹石之变,1470,战争,明
红盐池之战,1473,战争,明
人痘接种术,1500,科技,明
安化王之乱,1510,战争,明
刘六刘七起义,1510,战争,明
应州大捷,1518,战争,明
宁王之乱,1519,战争,明
屯门海战,1519,战争,明
西草湾之战,1522,战争,明
宁波之乱,1523,战争,明
岑猛之乱,1526,战争,明
西海之战,1533,战争,明
黑河墩之战,1536,战争,明
倭寇之乱,1547,战争,明
庚戌之变,1550,战争,明
万全右卫之战,1566,战争,明
《本草纲目》分类体系,1578,科技,明
等程律（十二平均律）,1581,科技,明
明缅战争,1581,战争,明
镇北关之战,1583,战争,明
兆佳城之战,1584,战争,明
浑河之战,1585,战争,明
播州之役,1590,战争,明
宁夏之役,1592,战争,明
万历朝鲜战争,1592,战争,明
平壤之围,1593,战争,明
古勒山之战,1593,战争,明
露梁海战,1598,战争,明
系统的岩溶地貌考察,1613,科技,明
明与后金战争,1618,战争,明
抚清之战,1618,战争,明
萨尔浒之战,1619,战争,明
叶赫城之战,1619,战争,明
奢安之乱,1621,战争,明
宁远之战,1626,战争,明
觉华岛之战,1626,战争,明
宁锦之战,1627,战争,明
丁卯战争,1627,战争,明
明末农民起义,1628,战争,明
清兵入塞,1629,战争,明
吴桥兵变,1631,战争,明
崇祯明荷海战,1633,战争,明
丙子战争,1636,战争,明
松锦之战,1639,战争,明
玛瑙山之战,1640,战争,明
南阳之战,1641,战争,明
开封之战,1641,战争,明
朱仙镇之战,1642,战争,明
北京之战,1644,战争,明
入关战争,1644,战争,明
山海关之战,1644,战争,明
清灭大顺之战,1644,战争,明
清灭南明弘光政权之战,1644,战争,明
潼关之战,1644,战争,明
清灭大西政权之战,1645,战争,清
扬州之战,1645,战争,清
清灭南明鲁王政权之战,1645,战争,清
清灭南明隆武政权之战,1645,战争,清
豪格平川陕之战,1646,战争,清
清灭南明绍武、永历政权之战,1646,战争,清
博洛平福建之战,1646,战争,清
郑成功抗清,1646,战争,清
孔有德平湖南之战,1647,战争,清
桂林之战,1652,战争,清
衡州之战,1652,战争,清
雅克萨战役,1652,战争,清
清平贵州之战,1657,战争,清
清平云南之战,1658,战争,清
郑成功攻台之役,1661,战争,清
三藩之乱,1673,战争,清
澎湖海战,1683,战争,清
平定准噶尔,1688,战争,清
乌兰布通之战,1690,战争,清
昭莫多之战,1696,战争,清
清平青海之战,1713,战争,清
准噶尔入藏,1716,战争,清
阿尔布巴之乱,1727,战争,清
和通泊之战,1731,战争,清
古州苗民起义,1735,战争,清
大小金川之役,1747,战争,清
大金川之战,1747,战争,清
珠尔默特那木札勒之乱,1749,战争,清
清灭准噶尔之战,1755,战争,清
阿睦尔撒纳之乱,1755,战争,清
大小和卓之乱,1757,战争,清
清缅战争,1762,战争,清
第二次金川之战,1771,战争,清
苏四十三起义,1781,战争,清
林爽文事件,1786,战争,清
平定廓尔喀,1788,战争,清
第一次廓尔喀之役,1788,战争,清
清越战争,1788,战争,清
第二次廓尔喀之役,1791,战争,清
蔡牵之乱,1794,战争,清
川楚教乱,1795,战争,清
癸酉之变,1813,战争,清
张格尔之乱,1820,战争,清
穿鼻之战,1839,战争,清
第一次鸦片战争,1840,战争,清
定海之战,1840,战争,清
虎门之战,1841,战争,清
三元里抗英事件,1841,战争,清
森巴战争,1841,战争,清
吴淞之战,1842,战争,清
镇江之战,1842,战争,清
七和卓之乱,1847,战争,清
太平天国起义,1851,战争,清
金田起义,1851,战争,清
江宁之战,1853,战争,清
太平天国北伐,1853,战争,清
太平天国西征,1853,战争,清
天京之围,1853,战争,清
天京事变,1853,战争,清
上海小刀会起义,1853,战争,清
捻军起义,1853,战争,清
广东洪兵起义,1854,战争,清
廓藏战争,1855,战争,清
太平军一破江南大营,1856,战争,清
云南回变,1856,战争,清
第二次鸦片战争,1856,战争,清
石达开远征,1857,战争,清
广州城战役,1857,战争,清
第一次大沽口之战,1858,战争,清
第二次大沽口之战,1859,战争,清
李永和、蓝朝鼎起义,1859,战争,清
太平军二破江南大营,1860,战争,清
第三次大沽口之战,1860,战争,清
八里桥之战,1860,战争,清
浙江之战,1862,战争,清
同治新疆回乱,1862,战争,清
同治陕甘回变,1862,战争,清
天京陷落,1864,战争,清
高楼寨之战,1865,战争,清
樟脑战争,1868,战争,清
清军收复新疆之战,1876,战争,清
中法战争,1883,战争,清
马江海战,1884,战争,清
西仔反,1884,战争,清
镇海之战,1885,战争,清
镇南关之役,1885,战争,清
第一次英国侵藏战争,1888,战争,清
甲午战争,1894,战争,清
丰岛海战,1894,战争,清
平壤之战,1894,战争,清
黄海海战,1894,战争,清
辽东半岛之战,1894,战争,清
威海卫之战,1895,战争,清
乙未战争,1895,战争,清
1895年：回乱,1895,战争,清
义和团运动,1898,战争,清
八国联军侵华战争,1900,战争,清
廊坊阻击战,1900,战争,清
第二次英国侵藏战争,1903,战争,清
日俄战争,1904,战争,清
藏族骚乱,1905,战争,清
奉天会战,1905,战争,清
萍浏醴起义,1906,战争,清
黄冈起义,1907,战争,清
七女湖起义,1907,战争,清
安庆起义,1907,战争,清
镇南关起义,1907,战争,清
钦廉上思起义,1908,战争,清
河口起义,1908,战争,清
马炮营起义,1908,战争,清
广州新军起义,1910,战争,清
广州起义,1910,战争,清
黄花岗起义,1911,战争,清
保路运动,1911,战争,清
白朗起义,1911,战争,清
辛亥革命,1911,战争,清
武昌起义,1911,战争,清
阳夏保卫战,1911,战争,清
南京之战,1911,战争,清
